City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Shklo,UA,62.94,overcast clouds,49.9567,23.5441,NaN
256,Lipin Bor,RU,57.29,broken clouds,60.2622,37.9763,NaN
260,Uyemskiy,RU,64.06,clear sky,64.4743,40.8524,NaN
261,Hay River,CA,52.84,broken clouds,60.8156,-115.7999,NaN
264,Joensuu,FI,52.29,clear sky,62.6012,29.7632,NaN
265,Glens Falls,US,65.17,clear sky,43.3095,-73.644,NaN
266,Naryan-Mar,RU,63.0,overcast clouds,67.6713,53.087,NaN
269,Ust-Ilimsk,RU,62.51,overcast clouds,58.0006,102.6619,NaN
272,Ivanteyevka,RU,66.56,broken clouds,55.9711,37.9208,NaN
284,Ankazobe,MG,56.34,broken clouds,-18.3167,47.1167,NaN
285,Noyabrsk,RU,60.82,clear sky,63.1994,75.4507,NaN
286,Kutum,SD,69.15,moderate rain,14.2,24.6667,NaN
292,Markova,UA,63.3,overcast clouds,48.6758,24.4138,NaN
297,Richards Bay,ZA,63.1,broken clouds,-28.783,32.0377,NaN
302,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,NaN
303,Port-Cartier,CA,63.75,broken clouds,50.0334,-66.8654,NaN
305,Mlowo,TZ,61.59,overcast clouds,-9.0,32.9833,NaN
307,Kurumkan,RU,62.82,overcast clouds,54.3,110.3,NaN
309,Peterhead,GB,55.8,overcast clouds,57.5058,-1.7981,NaN
312,Digby,CA,59.72,clear sky,44.6169,-65.7655,NaN
