City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Samarai,PG,-10.6167,150.6667,80.89,79,9,11.18,clear sky
130,Saint George,US,37.1041,-113.5841,86.79,44,64,2.37,broken clouds
131,Saquarema,BR,-22.92,-42.5103,64.47,70,66,7.74,broken clouds
132,Codrington,AU,-38.2667,141.9667,52.57,80,100,21.97,overcast clouds
133,Taoudenni,ML,22.6783,-3.9836,90.91,37,70,11.97,broken clouds
134,Callaway,US,30.153,-85.5699,80.01,91,0,3.67,clear sky
135,Provideniya,RU,64.3833,-173.3,50.88,75,99,6.11,overcast clouds
136,Daloa,CI,6.8774,-6.4502,70.07,88,99,4.43,overcast clouds
137,Ambilobe,MG,-13.2,49.05,74.19,59,0,5.17,clear sky
138,Esperance,AU,-33.8667,121.9,58.53,56,35,16.64,scattered clouds
139,Isla Mujeres,MX,21.2311,-86.731,75.16,83,96,7.54,overcast clouds
140,Morondava,MG,-20.2833,44.2833,71.29,76,54,4.0,broken clouds
141,Maragogi,BR,-9.0122,-35.2225,74.75,86,100,7.2,overcast clouds
142,Souillac,MU,-20.5167,57.5167,71.98,68,40,14.97,scattered clouds
143,Cabra,ES,37.4725,-4.4421,72.97,68,0,3.15,clear sky
144,Liverpool,GB,53.4106,-2.9779,65.28,94,100,6.91,overcast clouds
145,Male,MV,4.1748,73.5089,82.35,78,100,25.32,light rain
146,Geraldton,AU,-28.7667,114.6,64.81,55,0,12.66,clear sky
147,Bloemfontein,ZA,-29.1211,26.214,27.88,86,0,3.44,clear sky
148,Shingu,JP,33.7333,135.9833,88.3,62,45,9.04,scattered clouds
149,La Ronge,CA,55.1001,-105.2842,61.05,67,75,3.44,broken clouds
150,Kodiak,US,57.79,-152.4072,62.11,72,100,5.75,overcast clouds
151,El Vigia,VE,8.6219,-71.6506,74.3,86,80,5.12,broken clouds
152,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.6,97,97,1.14,overcast clouds
153,Moose Factory,CA,51.2585,-80.6094,57.2,88,100,8.05,fog
154,Woodway,US,31.506,-97.205,79.81,64,98,11.34,overcast clouds
155,Ewa Beach,US,21.3156,-158.0072,81.99,68,4,15.99,clear sky
156,Faanui,PF,-16.4833,-151.75,79.21,71,2,22.86,light rain
157,Yellowknife,CA,62.456,-114.3525,55.92,76,40,5.75,scattered clouds
158,Araouane,ML,18.9048,-3.5265,89.04,39,97,4.56,overcast clouds
159,Batagay,RU,67.6333,134.6333,81.39,48,99,3.29,overcast clouds
160,Issia,CI,6.4922,-6.5856,69.98,88,100,3.74,overcast clouds
161,Igarka,RU,67.4667,86.5833,52.74,65,37,27.67,scattered clouds
162,Quatre Cocos,MU,-20.2078,57.7625,72.09,73,93,16.15,light rain
163,Victoria,HK,22.2855,114.1577,94.24,70,15,5.01,few clouds
164,Lillooet,CA,50.6856,-121.942,78.35,32,7,4.68,clear sky
165,Georgetown,MY,5.4112,100.3354,89.53,78,20,6.91,few clouds
166,Rock Sound,BS,24.9,-76.2,82.44,78,7,19.51,clear sky
167,Sitka,US,57.0531,-135.33,58.89,88,100,3.44,mist
168,Hefei,CN,31.8639,117.2808,84.22,84,100,2.24,overcast clouds
169,Bambous Virieux,MU,-20.3428,57.7575,72.21,68,40,14.97,light rain
170,Lenger,KZ,42.183,69.8839,78.24,22,0,15.37,clear sky
171,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,4.61,broken clouds
172,Tura,IN,25.5198,90.2201,75.9,97,100,5.1,heavy intensity rain
173,Ahipara,NZ,-35.1667,173.1667,55.06,61,40,18.61,scattered clouds
174,Chokurdakh,RU,70.6333,147.9167,72.03,37,9,6.24,clear sky
175,Zhob,PK,31.3411,69.4481,80.76,54,43,3.27,scattered clouds
176,Ponta Do Sol,PT,32.6667,-17.1,70.72,83,12,5.26,few clouds
177,Mar Del Plata,AR,-38.0023,-57.5575,49.87,95,0,4.0,clear sky
178,Hofn,IS,64.2539,-15.2082,50.22,57,88,10.22,overcast clouds
179,Thinadhoo,MV,0.5333,72.9333,77.95,88,100,19.39,very heavy rain
180,Topeka,US,39.0483,-95.678,73.02,93,5,1.01,clear sky
181,Porbandar,IN,21.6422,69.6093,84.18,74,75,13.8,haze
182,Potiskum,NG,11.7091,11.0694,70.57,82,100,7.56,overcast clouds
183,Kerchevskiy,RU,59.946,56.2884,73.26,52,100,2.68,overcast clouds
184,Tuktoyaktuk,CA,69.4541,-133.0374,45.59,68,42,10.85,scattered clouds
185,Butaritari,KI,3.0707,172.7902,81.63,70,89,17.11,overcast clouds
186,Kaeo,NZ,-35.1,173.7833,56.32,62,14,12.26,few clouds
187,Rudnogorsk,RU,57.2639,103.7519,60.96,98,100,3.44,light rain
188,Erenhot,CN,43.6475,111.9767,86.81,24,84,3.53,broken clouds
189,Cape Town,ZA,-33.9258,18.4232,48.11,92,25,6.02,scattered clouds
190,Antofagasta,CL,-23.65,-70.4,56.73,78,24,5.64,few clouds
191,Lavrentiya,RU,65.5833,-171.0,45.63,79,88,6.73,overcast clouds
192,Lethem,GY,3.3803,-59.7968,73.04,91,100,1.23,overcast clouds
193,Sanjwal,PK,33.7608,72.4336,88.14,61,74,9.35,broken clouds
194,Orchard Homes,US,46.8633,-114.0484,77.27,43,0,1.86,clear sky
195,Serendah,MY,3.3646,101.6041,91.18,55,52,5.44,broken clouds
196,Estevan,CA,49.1334,-102.9842,64.74,80,82,9.01,broken clouds
197,Pacific Grove,US,36.6177,-121.9166,63.81,89,31,3.0,scattered clouds
198,Avesta,SE,60.1455,16.1679,58.12,76,75,3.8,broken clouds
199,Nanyang,CN,32.9947,112.5328,92.82,42,1,5.19,clear sky
200,Canavieiras,BR,-15.675,-38.9472,73.58,88,47,5.82,scattered clouds
201,Tubuala,PA,9.5167,-79.0333,81.32,85,99,12.35,overcast clouds
202,Luderitz,NA,-26.6481,15.1594,50.85,69,0,17.47,clear sky
203,Kieta,PG,-6.2167,155.6333,84.06,71,15,7.81,few clouds
204,Suna,RU,57.8338,50.0588,69.31,67,92,1.01,overcast clouds
205,Ouegoa,NC,-20.35,164.4333,73.13,74,65,8.7,broken clouds
206,Aykhal,RU,66.0,111.5,72.95,62,82,8.81,moderate rain
207,Tres Arroyos,AR,-38.3739,-60.2798,50.09,67,100,6.35,overcast clouds
208,Mizdah,LY,31.4451,12.9801,71.67,52,0,1.79,clear sky
209,Crib Point,AU,-38.35,145.2,58.41,57,100,23.15,light rain
210,Pachino,IT,36.7186,15.0907,80.89,68,0,6.44,clear sky
211,Pedasi,PA,7.5333,-80.0333,79.07,82,100,7.36,overcast clouds
212,Turochak,RU,52.2576,87.1224,78.46,48,39,5.39,scattered clouds
213,Srednekolymsk,RU,67.45,153.6833,74.46,26,13,12.19,few clouds
214,Dinar,TR,38.065,30.1656,73.36,33,0,1.41,clear sky
215,Puerto Madryn,AR,-42.7692,-65.0385,45.73,57,81,5.14,broken clouds
216,Port Macquarie,AU,-31.4333,152.9167,63.9,59,97,13.0,overcast clouds
217,Ardrossan,GB,55.6502,-4.8066,52.25,91,45,8.19,scattered clouds
218,Massakory,TD,12.996,15.7293,74.5,78,39,9.06,scattered clouds
219,Acapulco,MX,16.8634,-99.8901,82.22,78,75,3.44,broken clouds
220,Vung Tau,VN,10.346,107.0843,85.96,70,100,6.96,overcast clouds
221,Balaipungut,ID,1.05,101.2833,89.26,56,27,5.64,scattered clouds
222,Bangui,CF,4.3612,18.555,69.31,99,98,0.58,light rain
223,Marrakesh,MA,31.6315,-8.0083,78.87,44,0,3.44,clear sky
224,Olavarria,AR,-36.8927,-60.3225,51.03,71,99,5.88,overcast clouds
225,Murgab,TM,37.4966,61.9714,93.42,18,4,9.75,clear sky
226,Salaverry,PE,-8.2333,-78.9667,57.58,86,24,3.85,few clouds
227,Bagdarin,RU,54.4333,113.6,65.43,76,95,4.52,light rain
228,Assiniboia,CA,49.6334,-105.9845,65.3,82,35,13.6,scattered clouds
229,Rawson,AR,-43.3002,-65.1023,42.84,66,75,8.57,broken clouds
230,Tarjan,HU,47.6104,18.5107,65.21,81,78,15.64,light rain
231,Plettenberg Bay,ZA,-34.0527,23.3716,51.8,77,84,10.4,light rain
232,Nerang,AU,-27.9833,153.3333,67.93,72,99,1.99,overcast clouds
233,Amuntai,ID,-2.4177,115.2494,76.5,97,100,0.72,light rain
234,Alpena,US,45.0617,-83.4327,64.11,97,0,0.0,clear sky
235,Monroe,US,43.1501,-77.6831,66.96,88,0,4.61,clear sky
236,Yelizovo,RU,53.1873,158.3805,60.94,82,75,11.18,broken clouds
237,Hoi An,VN,15.8794,108.335,94.96,55,32,9.95,scattered clouds
238,Paris,FR,48.8534,2.3488,67.1,82,100,5.75,overcast clouds
239,Marawi,PH,7.9986,124.2928,76.55,81,100,1.07,light rain
240,Bollnas,SE,61.3482,16.3946,60.6,67,84,6.33,broken clouds
241,Chivolo,CO,10.025,-74.6228,74.84,92,81,3.69,broken clouds
242,Paita,PE,-5.0892,-81.1144,62.44,86,5,9.66,clear sky
243,Sabha,LY,27.0377,14.4283,79.79,27,59,8.86,broken clouds
244,Vuktyl,RU,63.8567,57.3094,68.02,55,46,10.89,scattered clouds
245,Aguimes,ES,27.9054,-15.4461,70.43,73,20,21.85,few clouds
246,Saint Anthony,US,45.0205,-93.218,75.9,68,0,10.36,clear sky
247,Carutapera,BR,-1.195,-46.02,76.23,91,55,5.86,broken clouds
248,Duobao,CN,30.67,112.6895,89.89,57,0,0.58,clear sky
249,Natal,BR,-5.795,-35.2094,72.25,100,75,2.3,broken clouds
250,Morwell,AU,-38.2333,146.4,55.4,49,100,5.32,overcast clouds
251,Felipe Carrillo Puerto,MX,19.5833,-88.05,74.68,94,100,2.59,overcast clouds
252,Cuamba,MZ,-14.8031,36.5372,62.71,65,0,1.99,clear sky
253,Minas,UY,-34.3759,-55.2377,48.0,82,79,3.74,broken clouds
254,Shklo,UA,49.9567,23.5441,62.94,96,100,4.9,overcast clouds
255,Trairi,BR,-3.2778,-39.2689,75.9,87,93,7.45,overcast clouds
256,Lipin Bor,RU,60.2622,37.9763,57.29,87,53,7.11,broken clouds
257,Petropavlivka,UA,48.4564,36.4367,72.52,46,0,11.63,clear sky
258,Klyuchi,RU,52.2667,79.1667,79.34,48,92,6.91,overcast clouds
259,Teahupoo,PF,-17.8333,-149.2667,72.54,75,18,24.14,light rain
260,Uyemskiy,RU,64.4743,40.8524,64.06,72,0,4.47,clear sky
261,Hay River,CA,60.8156,-115.7999,52.84,75,51,3.67,broken clouds
262,Reporoa,NZ,-38.4333,176.35,48.45,83,34,5.61,scattered clouds
263,Kadaya,RU,50.9327,119.2911,75.92,62,100,4.21,overcast clouds
264,Joensuu,FI,62.6012,29.7632,52.29,93,0,6.91,clear sky
265,Glens Falls,US,43.3095,-73.644,65.17,91,0,1.01,clear sky
266,Naryan-Mar,RU,67.6713,53.087,63.0,40,87,11.07,overcast clouds
267,Pochutla,MX,15.7432,-96.4661,75.81,89,82,4.41,broken clouds
268,Rizhao,CN,35.4275,119.4553,84.42,76,41,9.55,scattered clouds
269,Ust-Ilimsk,RU,58.0006,102.6619,62.51,97,100,2.19,overcast clouds
270,Airai,TL,-8.9266,125.4092,75.06,49,36,4.14,scattered clouds
271,Ishigaki,JP,24.3448,124.1572,84.76,75,72,7.16,broken clouds
272,Ivanteyevka,RU,55.9711,37.9208,66.56,54,81,2.84,broken clouds
273,Srandakan,ID,-7.9386,110.2506,81.99,71,90,11.9,overcast clouds
